invoice_number,job_card_number,description,quantity,unit_price,amount,unit_cost,gst,hours_worked,note,job_card_note,item_code,gst_free,product_type,bundle_parent_item_code,is_bom_parent,estimated_hours,ordering,subtotal,cost_including_tax,dont_update_quantity,requires_serial_number,customer_source,state,suburb,postcode,make,model,build_date,body_type,product_description,brand,product_group_name,product_supplier
50015,50015,"General Consumables - (Template Material, Buckles, Webbing etc)",1.0,5.0,5.5,0.0,0.5,,,,CON-GEN,,W,CON-GEN,,,0.0,5.0,0.0,false,,Google,NSW,Royal Exchange,1225,,,,,"General Consumables - (Template Material, Buckles, Webbing etc)",,,
50016,50016,Sunbrella Waterproof Canvas 155cm,9.0,110.0,1089.0,0.0,99.0,,,,SUN-HT-150,,S,SUN-HT-150,,,1000000.0,990.0,0.0,false,,,,,,,,,,Sunbrella Waterproof Canvas 155cm,Sunbrella,,Nolan Group
50016,50016,"General Consumables - (Template Material, Buckles, Webbing etc)",1.0,110.0,121.0,0.0,11.0,,,,CON-GEN,,W,CON-GEN,,,2000000.0,110.0,0.0,false,,,,,,,,,,"General Consumables - (Template Material, Buckles, Webbing etc)",,,
50016,50016,Shop Labour Rate,10.0,190.0,2090.0,0.0,190.0,,,,LAB,,J,LAB,,,0.0,1900.0,0.0,false,,,,,,,,,,Shop Labour Rate,,,
50017,50017,Mates Rates Thank You Discount :-),1.0,-1200.0,-1320.0,0.0,-120.0,,"","",DIS,,X,11% REFERAL DIS -,,,3000000.0,-1200.0,0.0,false,false,Referral,NSW,East Gosford,2250,,,,,Mates Rates - Thank You Discount :-),,,
50017,50017,Shop Labour Rate (Hr),14.0,190.0,2926.0,0.0,266.0,,,,LAB,,J,LAB,,,0.0,2660.0,0.0,false,,Referral,NSW,East Gosford,2250,,,,,Shop Labour Rate,,,
50017,50017,"General Consumables - (Template Material, Buckles, Webbing etc)",1.0,180.0,198.0,0.0,18.0,,,,CON-GEN,,W,CON-GEN,,,2000000.0,180.0,0.0,false,,Referral,NSW,East Gosford,2250,,,,,"General Consumables - (Template Material, Buckles, Webbing etc)",,,
50017,50017,Sunbrella Waterproof Canvas 155cm,15.0,110.0,1815.0,0.0,165.0,,,,SUN-HT-150,,S,SUN-HT-150,,,1000000.0,1650.0,0.0,false,,Referral,NSW,East Gosford,2250,,,,,Sunbrella Waterproof Canvas 155cm,Sunbrella,,Nolan Group
50018,50018,Sunbrella Waterproof Canvas (Navy Blue),30.0,110.0,3630.0,0.0,330.0,,,,SUN-HT-150,,S,SUN-HT-150,,,6000000.0,3300.0,0.0,false,,Referral,,,,Barvaria,"",,Yacht,Sunbrella Waterproof Canvas 155cm,Sunbrella,,Nolan Group
50018,50018,"4 Bow Bimini 1/14"" & 2 Bow Dodger 1"" - Marine Grade Stainless Steel",1.0,5800.0,6380.0,0.0,580.0,,"","",METAL WORK,,S,METAL WORK,,,3000000.0,5800.0,0.0,false,false,Referral,,,,Barvaria,"",,Yacht,"4 Bow Bimini 1/14"" & 2 Bow Dodger 1"" - Marine Grade Stainless Steel",,,
50018,50018,"General Consumables - (Template Material, Buckles, Webbing etc)",0.0,0.0,0.0,0.0,0.0,,,,CON-GEN,,W,CON-GEN,,,2000000.0,0.0,0.0,false,,Referral,,,,Barvaria,"",,Yacht,"General Consumables - (Template Material, Buckles, Webbing etc)",,,
50018,50018,"General Consumables - (Template Material, Buckles, Webbing etc)",1.0,380.0,418.0,0.0,38.0,,,,CON-GEN,,W,CON-GEN,,,7000000.0,380.0,0.0,false,,Referral,,,,Barvaria,"",,Yacht,"General Consumables - (Template Material, Buckles, Webbing etc)",,,
50018,50018,"Metal Work Consumables (Deck Fittings, Bow Ends, Split Knuckles ect)",1.0,580.0,638.0,0.0,58.0,,,,CON-GEN,,W,CON-GEN,,,4000000.0,580.0,0.0,false,,Referral,,,,Barvaria,"",,Yacht,"General Consumables - (Template Material, Buckles, Webbing etc)",,,
50018,50018,Continental Roll Clears,4.0,212.0,932.8,0.0,84.8,,"","",CNT-CLEAR,,S,CNT-CLEAR,,,8000000.0,848.0,0.0,false,false,Referral,,,,Barvaria,"",,Yacht,Continental Roll Clears,,,
50018,50018,Stamoid Top 260cm - White,0.0,0.0,0.0,0.0,0.0,,,,STM-WHITE,,S,STM-WHITE,,,1000000.0,0.0,0.0,false,,Referral,,,,Barvaria,"",,Yacht,Stamoid Top 260cm - White,Serge Ferrari,,
50018,50018,"Deck Mounted Rib Cover, Measure, Make and Fit",0.0,0.0,0.0,0.0,0.0,,,,LAB,,J,LAB,,,0.0,0.0,0.0,false,,Referral,,,,Barvaria,"",,Yacht,Shop Labour Rate,,,
50018,50018,"Bimini, Dodger and Link Sheet, Measure, Make and Fit",52.0,144.0,8236.8,0.0,748.8,,,,LAB,,J,LAB,,,5000000.0,7488.0,0.0,false,,Referral,,,,Barvaria,"",,Yacht,Shop Labour Rate,,,
50019,50019,Shop Labour Rate,8.0,140.0,1232.0,0.0,112.0,,,,LAB,,J,LAB,,,0.0,1120.0,0.0,,,,,,,Launch,,,Sedan,Shop Labour Rate,,,
50019,50019,"General Consumables - (Template Material, Buckles, Webbing, Zippersetc)",1.0,32.0,35.2,0.0,3.2,,,,CON-GEN,,W,CON-GEN,,,3000000.0,32.0,0.0,,,,,,,Launch,,,Sedan,"General Consumables - (Template Material, Buckles, Webbing etc)",,,
50019,50019,Mesh Backing,3.0,50.0,165.0,30.0,15.0,,,,MESH,,S,MESH,,,2000000.0,150.0,33.0,,,,,,,Launch,,,Sedan,,,,Nolan Group
50019,50019,Sunbrella Furniture Canvas,6.0,58.0,382.8,0.0,34.8,,,,SUN-HT-150,,S,SUN-HT-150,,,1000000.0,348.0,0.0,,,,,,,Launch,,,Sedan,Sunbrella Waterproof Canvas 155cm,Sunbrella,,Nolan Group
50020,50020,"General Consumables - (Template Material, Buckles, Webbing etc)",1.0,1.0,1.1,0.0,0.1,,,,CON-GEN,,W,CON-GEN,,,0.0,1.0,0.0,false,,Google,NSW,Royal Exchange,1225,,,,,"General Consumables - (Template Material, Buckles, Webbing etc)",,,
50024,50024,Deposit 1 for Job ID 50018,1.0,5000.0,5000.0,0.0,0.0,,,,DEPOSIT,true,S,DEPOSIT,,,0.0,5000.0,0.0,true,,Referral,,,,,,,,Deposit,,,
50026,50026,"General Consumables - (Template Material, Buckles, Webbing etc)",1.0,1.0,1.1,0.0,0.1,,,,CON-GEN,,W,CON-GEN,,,0.0,1.0,0.0,false,,Google,NSW,Royal Exchange,1225,,,,,"General Consumables - (Template Material, Buckles, Webbing etc)",,,
50027,50027,Remainder of deposit for Job 50018,1.0,5000.0,5000.0,0.0,0.0,,,,DEPOSIT,true,S,DEPOSIT,,,0.0,5000.0,0.0,true,,Referral,,,,,,,,Deposit,,,
50029,50029,Sunbrella Waterproof Canvas 155cm,2.0,110.0,242.0,0.0,22.0,,,,SUN-HT-150,,S,SUN-HT-150,,,1000000.0,220.0,0.0,false,,Referral,,,,,,,,Sunbrella Waterproof Canvas 155cm,Sunbrella,,Nolan Group
50029,50029,Mesh,5.0,70.0,385.0,30.0,35.0,,,,MESH,,S,MESH,,,0.0,350.0,33.0,false,,Referral,,,,,,,,,,,Nolan Group
50029,50029,Shop Labour Rate,15.0,144.0,2376.0,0.0,216.0,,,,LAB,,J,LAB,,,2000000.0,2160.0,0.0,false,,Referral,,,,,,,,Shop Labour Rate,,,
50029,50029,"General Consumables - (Template Material, Buckles, Webbing etc)",1.0,294.0,323.4,0.0,29.4,,,,CON-GEN,,W,CON-GEN,,,3000000.0,294.0,0.0,false,,Referral,,,,,,,,"General Consumables - (Template Material, Buckles, Webbing etc)",,,
50030,50030,"Reminder and final invoice of Job 50018 (Bimini, Dodger, Boat Cover & Link Sheet)",1.0,9305.09,10235.6,0.0,930.51,,,,REMAINDER,false,J,REMAINDER,,,0.0,9305.09,0.0,false,,Referral,,,,,,,,,,,
50031,50031,"General Consumables - (Template Material, Buckles, Webbing etc)",1.0,1.0,1.1,0.0,0.1,,,,CON-GEN,,W,CON-GEN,,,0.0,1.0,0.0,false,,Google,NSW,Royal Exchange,1225,,,,,"General Consumables - (Template Material, Buckles, Webbing etc)",,,
50033,50033,Cushion Recover (material supplied),4.0,300.0,1320.0,0.0,120.0,,,,LAB,,J,LAB,,,0.0,1200.0,0.0,false,,,,,,,,,,Shop Labour Rate,,,
50033,50033,"General Consumables - (Template Material, Mesh, Buckles, Webbing etc)",4.0,50.0,220.0,0.0,20.0,,,,CON-GEN,,W,CON-GEN,,,1000000.0,200.0,0.0,false,,,,,,,,,,"General Consumables - (Template Material, Buckles, Webbing etc)",,,
50034,50034,Sunbrella Waterproof Canvas 155cm,2.0,110.0,242.0,0.0,22.0,,,,SUN-HT-150,,S,SUN-HT-150,,,1000000.0,220.0,0.0,false,,Referral,,,,,,,,Sunbrella Waterproof Canvas 155cm,Sunbrella,,Nolan Group
50034,50034,"General Consumables - (Template Material, Buckles, Webbing etc)",1.0,294.0,323.4,0.0,29.4,,,,CON-GEN,,W,CON-GEN,,,3000000.0,294.0,0.0,false,,Referral,,,,,,,,"General Consumables - (Template Material, Buckles, Webbing etc)",,,
50034,50034,,5.0,70.0,385.0,30.0,35.0,,,,MESH,,S,MESH,,,0.0,350.0,33.0,false,,Referral,,,,,,,,,,,Nolan Group
50034,50034,Shop Labour Rate,15.0,144.0,2376.0,0.0,216.0,,,,LAB,,J,LAB,,,2000000.0,2160.0,0.0,false,,Referral,,,,,,,,Shop Labour Rate,,,
50035,50035,Stamoid Dual 260cm - Grey,3.0,150.0,495.0,85.0,45.0,,,,STM-GREY,,S,STM-GREY,,,1000000.0,450.0,93.5,false,,Website,NSW,Coal Point,2283,,,,Sedan,Stamoid Dual 260cm - Grey,,,
50035,50035,"General Consumables - (Template Material, Buckles, Webbing etc)",1.0,120.0,132.0,0.0,12.0,,,,CON-GEN,,W,CON-GEN,,,2000000.0,120.0,0.0,false,,Website,NSW,Coal Point,2283,,,,Sedan,"General Consumables - (Template Material, Buckles, Webbing etc)",,,
50035,50035,Shop Labour Rate,3.5,144.0,554.4,0.0,50.4,,,,LAB,,J,LAB,,,0.0,504.0,0.0,false,,Website,NSW,Coal Point,2283,,,,Sedan,Shop Labour Rate,,,
50037,50037,"General Consumables - (Template Material, Buckles, Webbing etc)",1.0,60.0,66.0,0.0,6.0,,,,CON-GEN,,W,CON-GEN,,,1000000.0,60.0,0.0,false,,Website,NSW,Coal Point,2283,,,,Sedan,"General Consumables - (Template Material, Buckles, Webbing etc)",,,
50037,50037,"Boom Cover - Strengthened all corners and clip straps, patched all holes + Fixed rope bag",5.5,144.0,871.2,0.0,79.2,,,,LAB,,J,LAB,,,0.0,792.0,0.0,false,,Website,NSW,Coal Point,2283,,,,Sedan,Shop Labour Rate,,,
50038,50038,"Remove solar panels, remove and dispose old Bimini, check frame and fasteners, pattern new Bimini",4.0,144.0,633.6,0.0,57.6,,,,LAB,,J,LAB,,,0.0,576.0,0.0,false,,,NSW,"",2282,,,,,Shop Labour Rate,,,
50038,50038,"General Consumables - (Template Material, Buckles, Webbing etc)",1.0,72.0,79.2,0.0,7.2,,,,CON-GEN,,W,CON-GEN,,,3000000.0,72.0,0.0,false,,,NSW,"",2282,,,,,"General Consumables - (Template Material, Buckles, Webbing etc)",,,
50038,50038,Sunbrella Waterproof Canvas 155cm,6.0,110.0,726.0,0.0,66.0,,,,SUN-HT-150,,S,SUN-HT-150,,,2000000.0,660.0,0.0,false,,,NSW,"",2282,,,,,Sunbrella Waterproof Canvas 155cm,Sunbrella,,Nolan Group
50038,50038,"Install new Bimini, install solar panels",4.0,144.0,633.6,0.0,57.6,,,,LAB,,J,LAB,,,4000000.0,576.0,0.0,false,,,NSW,"",2282,,,,,Shop Labour Rate,,,
50038,50038,See new Bimini,8.0,144.0,1267.2,0.0,115.2,,,,LAB,,J,LAB,,,1000000.0,1152.0,0.0,false,,,NSW,"",2282,,,,,Shop Labour Rate,,,
50041,50041,"General Consumables - (Template Material, Buckles, Webbing etc)",1.0,0.1,0.11,0.0,0.01,,,,CON-GEN,,W,CON-GEN,,,0.0,0.1,0.0,false,,,,,,,,,,"General Consumables - (Template Material, Buckles, Webbing etc)",,,
50042,50042,"General Consumables - (Template Material, Buckles, Webbing etc)",1.0,0.9,0.99,0.0,0.09,,,,CON-GEN,,W,CON-GEN,,,0.0,0.9,0.0,false,,,,,,,,,,"General Consumables - (Template Material, Buckles, Webbing etc)",,,
50043,50043,Deposit / Insurance Excess Quote/Job 50038 - Wave Dancer Bimini,1.0,1000.0,1000.0,0.0,0.0,,,,DEPOSIT,true,S,DEPOSIT,,,0.0,1000.0,0.0,true,,,NSW,"",2282,,,,,Deposit,,,
50044,50044,Side Covers - Remove/Template/Make/Install - Sunbrella Black,2.0,400.0,880.0,0.0,80.0,,,,CON-GEN,,W,CON-GEN,,,3000000.0,800.0,0.0,false,,,NSW,Mayfield,2304,,,,Pontoon,"General Consumables - (Template Material, Buckles, Webbing etc)",,,
50044,50044,Bimini Cover - Remove/Template/Make/Install - Sunbrella Black,1.0,850.0,935.0,0.0,85.0,,,,CON-GEN,,W,CON-GEN,,,0.0,850.0,0.0,false,,,NSW,Mayfield,2304,,,,Pontoon,"General Consumables - (Template Material, Buckles, Webbing etc)",,,
